gauge_diameter,absolute_angular_error,absolute_read_error,absolute_relative_read_error,reading_accuracy,iou,ocr_iou,ocr_accuracy,base_error_pixels,base_error,base_accuracy,min_error_pixels,min_error,min_accuracy,max_error_pixels,max_error,max_accuracy,needle_tip_error_pixels,needle_tip_error,needle_tip_accuracy
509,1.5959472854215795,0.0616,0.0154,0.9846,0.8891709400834553,0.0,0.0,0.0,0.0,1.0,16.401219466856727,0.03222243510187962,0.9677775648981204,6.082762530298219,0.011950417544790214,0.9880495824552098,24.08318915758459,0.04731471347266128,0.9526852865273387
511,1.5590504113675032,0.1383,0.034575,0.965425,0.9025977143954672,0.0,0.0,0.0,0.0,1.0,14.422205101855956,0.028223493350011657,0.9717765066499884,6.324555320336759,0.012376820587743169,0.9876231794122569,24.758836806279895,0.048451735433033064,0.951548264566967
508,1.1900866593156492,0.118,0.0295,0.9705,0.8955563787024461,0.0,0.0,0.0,0.0,1.0,17.029386365926403,0.033522414106154336,0.9664775858938457,8.94427190999916,0.01760683446850228,0.9823931655314977,25.495097567963924,0.050187199936936856,0.9498128000630631
508,11.98892891865753,0.0433,0.010825,0.989175,0.8939987400367033,0.0,0.0,1.0,0.001968503937007874,0.9980314960629921,36.89173349139343,0.07262152262085321,0.9273784773791468,15.231546211727817,0.029983358684503577,0.9700166413154965,7.810249675906654,0.01537450723603672,0.9846254927639633
508,0.1862747652464405,0.03459999999999999,0.008649999999999998,0.99135,0.8972987062874703,0.0,0.0,1.0,0.001968503937007874,0.9980314960629921,8.48528137423857,0.01670330979180821,0.9832966902081918,11.0,0.021653543307086614,0.9783464566929134,12.206555615733702,0.024028652786877366,0.9759713472131226
508,0.3350655259402391,0.027599999999999986,0.006899999999999996,0.9931,0.8874331258871055,0.0,0.0,1.0,0.001968503937007874,0.9980314960629921,13.45362404707371,0.026483511903688407,0.9735164880963116,9.055385138137417,0.017825561295546098,0.9821744387044539,15.264337522473747,0.03004790850880659,0.9699520914911934
508,0.13577085730369376,0.03210000000000002,0.008025000000000004,0.991975,0.8972987062874703,0.0,0.0,1.0,0.001968503937007874,0.9980314960629921,12.727922061357855,0.025054964687712313,0.9749450353122877,9.219544457292887,0.01814870956160017,0.9818512904383998,12.083045973594572,0.023785523570068055,0.976214476429932
507,0.8752096777992442,0.005599999999999994,0.0013999999999999985,0.9986,0.8955323702514714,0.0,0.0,1.0,0.0019723865877712033,0.9980276134122288,14.212670403551895,0.02803288048037849,0.9719671195196216,4.0,0.007889546351084813,0.9921104536489151,15.524174696260024,0.030619673957120362,0.9693803260428796
507,0.4489202580048186,0.02429999999999999,0.006074999999999997,0.993925,0.8872300719808052,0.0,0.0,2.23606797749979,0.004410390488165266,0.9955896095118347,13.45362404707371,0.02653574762736432,0.9734642523726357,11.045361017187261,0.021785721927391047,0.978214278072609,8.0,0.015779092702169626,0.9842209072978304
504,0.3615418564864399,0.010600000000000054,0.0026500000000000135,0.99735,0.888504753673293,0.0,0.0,1.0,0.001984126984126984,0.998015873015873,14.212670403551895,0.028199742864190268,0.9718002571358098,2.8284271247461903,0.005611958580845616,0.9943880414191544,25.179356624028344,0.04995904092069116,0.9500409590793089
501,0.3192185717195244,0.0049000000000000155,0.0012250000000000039,0.998775,0.8767662681241156,0.0,0.0,1.0,0.001996007984031936,0.998003992015968,14.866068747318506,0.029672791910815382,0.9703272080891846,2.23606797749979,0.004463209535927724,0.9955367904640723,18.24828759089466,0.03642372772633665,0.9635762722736634
503,0.10229712966039983,0.023500000000000076,0.005875000000000019,0.9941249999999999,0.8867418474160047,0.0,0.0,0.0,0.0,1.0,15.620499351813308,0.03105467067954932,0.9689453293204506,6.324555320336759,0.012573668628900117,0.9874263313710999,24.041630560342615,0.0477964822273213,0.9522035177726786
503,0.4966981227808063,0.0010999999999999899,0.00027499999999999747,0.999725,0.88025429811669,0.0,0.0,1.0,0.0019880715705765406,0.9980119284294234,15.620499351813308,0.03105467067954932,0.9689453293204506,5.0990195135927845,0.010137215732788836,0.9898627842672112,23.40939982143925,0.046539562269262924,0.9534604377307371
501,0.05665831184089143,0.009599999999999942,0.0023999999999999855,0.9976,0.8814977157673787,0.0,0.0,1.0,0.001996007984031936,0.998003992015968,14.866068747318506,0.029672791910815382,0.9703272080891846,12.529964086141668,0.02500990835557219,0.9749900916444278,29.966648127543394,0.05981366891725228,0.9401863310827477
502,2.302048103319393,0.038799999999999946,0.009699999999999986,0.9903,0.8752925922134643,0.0,0.0,0.0,0.0,1.0,17.08800749063506,0.03403985555903399,0.965960144440966,10.295630140987,0.02050922338842032,0.9794907766115797,28.653097563788805,0.057077883593204794,0.9429221164067952
502,1.4334944894588233,0.0011999999999998678,0.00029999999999996696,0.9997,0.880020269391165,0.0,0.0,2.0,0.00398406374501992,0.9960159362549801,15.811388300841896,0.03149678944390816,0.9685032105560918,11.40175425099138,0.022712657870500755,0.9772873421294992,29.154759474226502,0.05807721010802092,0.9419227898919791
505,0.29447619869234387,0.02289999999999992,0.00572499999999998,0.994275,0.8902676599305813,0.0,0.0,0.0,0.0,1.0,14.866068747318506,0.02943775989568021,0.9705622401043198,7.211102550927978,0.014279410991936591,0.9857205890080634,22.847319317591726,0.045242216470478665,0.9547577835295213
504,0.26545927601340935,0.009800000000000031,0.0024500000000000077,0.9975499999999999,0.8770421324161651,0.0,0.0,2.0,0.003968253968253968,0.996031746031746,14.212670403551895,0.028199742864190268,0.9718002571358098,2.23606797749979,0.0044366428124995826,0.9955633571875004,15.231546211727817,0.030221321848666303,0.9697786781513337
